,Datetime,Tweet Id,Text,Media
30,2022-02-01 23:17:22+00:00,1488652725487386628,"A Christian school in Brisbane, Australia has sparked outrage for requiring parents to sign an enrollment contract that refers to homosexuality as a sin and includes it in a list of ""immoral"" behavior alongside bestiality, incest, and pedophilia https://t.co/r8prb9RVuw",CNN
31,2022-02-01 22:57:47+00:00,1488647800141369344,"The hit song ""We Don't Talk About Bruno"" from the animated Disney movie ""Encanto"" is now the No. 1 song on the Billboard Hot 100 chart. https://t.co/pNXtIXwp9g",CNN
32,2022-02-01 22:39:33+00:00,1488643208833908736,"At her fourth Olympics, Elana Meyers Taylor had hoped to stand on the podium with her son in her arms. Now, it's uncertain if she will be able to take part in the Games https://t.co/Toy0Palvv8",CNN
33,2022-02-01 22:23:26+00:00,1488639155856805888,"Two officers have been shot in an active shooter incident at Bridgewater College, Virginia State Police tweeted https://t.co/W6b0WSdbgF",CNN
34,2022-02-01 22:18:04+00:00,1488637803764330498,Federal prisons were placed on a temporary lockdown nationwide Monday after violence broke out at an institution in Texas and two inmates died https://t.co/JXwoCXQb1E,CNN
35,2022-02-01 22:05:09+00:00,1488634552918630401,Seven-time Super Bowl champion Tom Brady has officially announced his retirement from the NFL https://t.co/wQVzLx51VC,CNN
36,2022-02-01 21:52:17+00:00,1488631316425973763,"While the industry as a whole is still male-dominated, organizations have launched projects in the hope of creating a more diverse gaming environment https://t.co/Q2UU727tQb",CNN
37,2022-02-01 21:36:25+00:00,1488627321376579585,"JUST IN: Pfizer seeks FDA emergency use authorization for its Covid-19 vaccine in kids as young as 6 months
https://t.co/gW6Z46II9z",CNN
38,2022-02-01 21:28:54+00:00,1488625430370439169,This automated catamaran simultaneously harvests and replants seaweed in the ocean. https://t.co/Bwe3b2cIL8,CNN
39,2022-02-01 21:17:03+00:00,1488622448761311232,"After realizing there weren't any Koreans in the pantheon of iconic Disney princesses, 22-year-old Julia Riew set out to create one herself, along with an accompanying musical https://t.co/deFwIZpTlC",CNN
40,2022-02-01 21:07:42+00:00,1488620093135335426,"JUST IN: One student is dead and one is injured after a shooting at a school in Richfield, Minnesota, officials said
https://t.co/nf6Ms4ANMz",CNN
41,2022-02-01 21:03:48+00:00,1488619114662875146,"A penguin couple received an extra special New Year's gift at a zoo in New York, where they became the organization's first same-sex foster parents to successfully hatch an egg https://t.co/qM1KbIYwVA",CNN
42,2022-02-01 20:50:45+00:00,1488615827788214274,"Frustrations ranged from the Covid-19 pandemic to immigration policy and at points devolved into open hostility, with one agent turning his back on the secretary and another questioning Mayorkas for wearing a jacket with the Border Patrol badge https://t.co/uOdvqBKywo",CNN
43,2022-02-01 20:38:12+00:00,1488612671134044167,"The State Department on Monday ordered family members of employees at the US Embassy in Belarus to depart the country and warned US citizens against travel there due to an ""unusual and concerning Russian military buildup"" along Belarus' border with Ukraine https://t.co/GJitO39Dvd",CNN
44,2022-02-01 20:29:05+00:00,1488610377340534795,More severe weather events and shifting climate patterns will continue to create problems for people and businesses around the world. And the already battered global supply chains will be on the front lines. https://t.co/eMFsqFN4Cp,CNN
45,2022-02-01 20:25:55+00:00,1488609578627575817,"The sole survivor of a boat that capsized off the coast of Florida last week lost his sister at sea and spent harrowing days fighting to survive, he told reporters at a news conference on Monday https://t.co/Tj04fOUvhb",CNN
